name,ea,binary,callers,callees
FUN_00021c74,138356,GAME.BIN,0,0
FUN_00022790,141200,GAME.BIN,0,0
FUN_00022a74,141940,GAME.BIN,0,0
FUN_00023364,144228,GAME.BIN,0,0
FUN_00026c68,158824,GAME.BIN,0,0
FUN_0002a7c4,174020,GAME.BIN,0,0
FUN_0002b2b8,176824,GAME.BIN,0,0
FUN_0002f200,193024,GAME.BIN,0,0
FUN_00035cc0,220352,GAME.BIN,0,0
FUN_000402e0,262880,GAME.BIN,9,0
FUN_00021c74,138356,GAME.BIN,0,0
FUN_00022790,141200,GAME.BIN,0,0
FUN_00022a74,141940,GAME.BIN,0,0
FUN_00023364,144228,GAME.BIN,0,0
FUN_00026c68,158824,GAME.BIN,0,0
FUN_0002a7c4,174020,GAME.BIN,0,0
FUN_0002b2b8,176824,GAME.BIN,0,0
FUN_0002f200,193024,GAME.BIN,0,0
FUN_00035cc0,220352,GAME.BIN,0,0
FUN_000402e0,262880,GAME.BIN,9,0
