name,ea,size,in,out,score
FUN_00000428,0x00000428,816,0,0,13
FUN_00000a2c,0x00000a2c,632,0,0,13
FUN_000010cc,0x000010cc,444,0,0,13
FUN_000012fc,0x000012fc,308,0,0,13
FUN_00001430,0x00001430,980,0,0,13
FUN_00001948,0x00001948,344,0,0,13
FUN_00001b68,0x00001b68,996,0,0,13
FUN_00001f4c,0x00001f4c,532,0,0,13
FUN_00002160,0x00002160,1912,0,0,13
FUN_0000293c,0x0000293c,1444,0,0,13
FUN_000031d8,0x000031d8,2492,0,0,13
FUN_00003dc0,0x00003dc0,1384,0,0,13
FUN_00004328,0x00004328,4168,0,0,13
FUN_00005448,0x00005448,688,0,0,13
FUN_000056f8,0x000056f8,604,0,0,13
FUN_00005954,0x00005954,3924,0,0,13
FUN_00006dc8,0x00006dc8,352,0,0,13
FUN_00007054,0x00007054,604,0,0,13
FUN_00007420,0x00007420,3688,0,0,13
FUN_00008a1c,0x00008a1c,636,0,0,13
FUN_00008f20,0x00008f20,384,0,0,13
FUN_000092d8,0x000092d8,328,0,0,13
FUN_000094c0,0x000094c0,312,0,0,13
FUN_0000976c,0x0000976c,2204,0,0,13
FUN_0000a110,0x0000a110,612,0,0,13
FUN_0000a40c,0x0000a40c,296,0,0,13
FUN_0000a534,0x0000a534,288,0,0,13
FUN_0000a654,0x0000a654,1584,0,0,13
FUN_0000b258,0x0000b258,360,0,0,13
FUN_0000737c,0x0000737c,164,0,0,8
FUN_000095f8,0x000095f8,112,0,0,8
FUN_00000ca4,0x00000ca4,272,0,0,5
FUN_00000f30,0x00000f30,412,0,0,5
FUN_00008804,0x00008804,536,0,0,5
FUN_000090a0,0x000090a0,444,0,0,5
FUN_00001804,0x00001804,100,0,0,0
FUN_00001868,0x00001868,96,0,0,0
FUN_00003074,0x00003074,148,0,0,0
FUN_00003160,0x00003160,120,0,0,0
FUN_00006f28,0x00006f28,188,0,0,0
FUN_00009420,0x00009420,116,0,0,0
FUN_00009494,0x00009494,44,0,0,0
FUN_00009668,0x00009668,188,0,0,0
FUN_00009724,0x00009724,72,0,0,0
FUN_0000a374,0x0000a374,52,0,0,0
FUN_0000ad3c,0x0000ad3c,28,0,0,0
