name,ea,size,callers_n,callees_n,ctrl_hit,phys_hit,binary
FUN_00001c84,7300,6844,0,0,0,0,TUTO.BIN
FUN_00001c84,7300,6844,0,0,0,0,TUTO.BIN
FUN_000010b8,4280,3020,0,0,0,0,TUTO.BIN
FUN_000010b8,4280,3020,0,0,0,0,TUTO.BIN
FUN_00003770,14192,1148,0,0,0,0,TUTO.BIN
FUN_00003770,14192,1148,0,0,0,0,TUTO.BIN
FUN_00000c60,3168,680,0,0,0,0,TUTO.BIN
FUN_00000c60,3168,680,0,0,0,0,TUTO.BIN
FUN_00000408,1032,364,0,0,0,0,TUTO.BIN
FUN_00000408,1032,364,0,0,0,0,TUTO.BIN
FUN_00000804,2052,268,0,0,0,0,TUTO.BIN
FUN_00000804,2052,268,0,0,0,0,TUTO.BIN
FUN_00000910,2320,200,0,0,0,0,TUTO.BIN
FUN_00000910,2320,200,0,0,0,0,TUTO.BIN
FUN_00000a48,2632,112,0,0,0,0,TUTO.BIN
FUN_00000a48,2632,112,0,0,0,0,TUTO.BIN
FUN_000009d8,2520,64,0,0,0,0,TUTO.BIN
FUN_000009d8,2520,64,0,0,0,0,TUTO.BIN
FUN_00000a18,2584,48,0,0,0,0,TUTO.BIN
FUN_00000a18,2584,48,0,0,0,0,TUTO.BIN
